"Tair","FanMode","Velocity","Humidity","SET*","X2","X3","X5","X6","X7","X9","X12","X13","X14","X16","X17","X18","X19","X20","X23","X24","X25","X26"
22,0,0.07,50,20.4107032000114,0.744519382532327,0.655369131659545,0.122500097040293,0.487274569802365,0.838547242538299,0.741627029576631,0.520113416788099,0.744968240918132,0.513260553288694,0.588377926725741,0.696292679385565,0.839527667537701,0.716068970686815,0.426913317074522,0.836728652242505,0.441469731979582,0.846055337563598,0.482128647704908
22,1,0.29,50,19.6890930034132,0.567177941160672,0.479167071036794,0.123422783092123,0.627025607790353,0.743603865577177,0.696098834320041,0.554030693984586,0.596189714502144,0.426142067108268,0.536825582922755,0.582815271977031,0.83576796056297,0.803883829557439,0.384615910492871,0.852775631552975,0.53013648619683,0.760505006950264,0.431741118696619
22,2,0.58,50,18.111300655776,0.0419452119792397,0.099714421604834,0.0151016309925517,0.420120825992355,0.440477181942426,0.252418575363086,0.336026851734763,0.160979760533171,0.119236805964017,0.142941374021063,0.251651745742103,0.422063118853109,0.656463656087673,0.242067950989961,0.573401020129623,0.407977378230336,0.472901423171812,0.161249015275365
22,3,0.94,50,17.0171496277535,0.0857787476715491,0.157251212430544,0,0.294172153746669,0.445389104451193,0.0802082974569741,0.344115978496203,0.178569742398116,0.0333294174023089,0.13588346728168,0.277937220251528,0.174036455745223,0.691052724962932,0.36846972639286,0.373719739859901,0.461542439145741,0.481369427347839,0.0667474675167055
22,4,1.37,50,16.1856963490387,0.0902201884729602,0,0.091667099541993,0.189196602486765,0.211953567954919,0.129340777203593,0.299507548578336,0,0.11107812782431,0.114358099200345,0.0761116799168824,0.176426393305327,0.654004019725854,0.213765296557503,0.351632924764713,0.440014904094581,0.245793284558646,0.134543168557113
22,5,1.87,50,15.5225630130966,0,0,0,0,0.103930201663859,0.00948073772038234,0.0823301176335734,0,0.00134837883882788,0,0,0.0347332974808736,0.435315240159,0.154700224174029,0.173505275069478,0.234686467885793,0.133913263769049,0.0180361547548216
22.5,0,0.07,50,20.9348189988475,0.906321818216009,0.677660191711238,0.252467038875396,0.488987723748454,0.803744934117347,0.806087910340614,0.614331384391192,0.718973464771498,0.655928569469734,0.707275700595745,0.663228935165327,0.894051648031749,0.744534266302177,0.363270060389399,0.892247415791859,0.492390601578829,0.803332225634939,0.603354083937019
22.5,1,0.29,50,20.2267146787686,0.806553737843773,0.639005258902779,0.106906004453269,0.621796802202314,0.843428368317222,0.727905146663176,0.624384054456764,0.740091631778593,0.480627407484401,0.675270740139363,0.697543818546439,0.834127423561798,0.836738968248885,0.443758851747132,0.83361720186143,0.560282275888307,0.853462189766056,0.458790287216003
22.5,2,0.58,50,18.6856742662832,0.160350662729647,0.246898969891719,0,0.53834104036112,0.58314577808415,0.291864467654357,0.414726418729199,0.336630604850615,0.0936744697069345,0.265997189803394,0.397451198169505,0.476312826063244,0.714046823063001,0.321000196945993,0.572446404473557,0.455816549776275,0.610966737950616,0.13170337662323
22.5,3,0.94,50,17.622962886865,0.0176193555246263,0.201197888340678,0.0823505676316855,0.329734396483656,0.52621549656059,0.238488973873659,0.305203388491467,0.241273001983612,0.151782781544149,0.0959673231868889,0.342905342853651,0.376725966625435,0.639755224963015,0.383201090425383,0.562200937588277,0.39961558584346,0.561154762538166,0.191536037921115
