"Tair","FanMode","Velocity","Humidity","SET*","X2"
22,0,0.07,50,20.4107032000114,0.744519382532327
22,1,0.29,50,19.6890930034132,0.567177941160672
22,2,0.58,50,18.111300655776,0.0419452119792397
22,3,0.94,50,17.0171496277535,0.0857787476715491
22,4,1.37,50,16.1856963490387,0.0902201884729602
22,5,1.87,50,15.5225630130966,0
22.5,0,0.07,50,20.9348189988475,0.906321818216009
22.5,1,0.29,50,20.2267146787686,0.806553737843773
22.5,2,0.58,50,18.6856742662832,0.160350662729647
22.5,3,0.94,50,17.622962886865,0.0176193555246263
22.5,4,1.37,50,16.8187835454156,0.0978468869639119
22.5,5,1.87,50,16.1795392044093,0
23,0,0.07,50,21.4567059433781,0.987822165079885
23,1,0.29,50,20.7612194681658,0.885857678775143
23,2,0.58,50,19.2549546963511,0.246121194694114
23,3,0.94,50,18.2218340460146,0.152150453858785
23,4,1.37,50,17.4435208874066,0
23,5,1.87,50,16.8270917563112,0
23.5,0,0.07,50,21.975912132999,0.925791299345168
23.5,1,0.29,50,21.2922429942955,0.99858158867068
23.5,2,0.58,50,19.81868426042,0.548073712925514
23.5,3,0.94,50,18.8136841838043,0.257846533992621
23.5,4,1.37,50,18.0596212084672,0.143284161835283
23.5,5,1.87,50,17.464646712629,0
24,0,0.07,50,22.4844194972403,0.968199896774661
24,1,0.29,50,21.8192427655917,1
24,2,0.58,50,20.3765724403561,0.787126590225739
24,3,0.94,50,19.3980531350001,0.374586544214701
24,4,1.37,50,18.6669056622467,0.237250004024837
24,5,1.87,50,18.0918981775217,0.048907714482806
24.5,0,0.07,50,22.9939457032126,0.972306280440092
24.5,1,0.29,50,22.330878371875,0.980795199029512
24.5,2,0.58,50,20.9280991822253,0.820283174625867
24.5,3,0.94,50,19.9745033460314,0.712084355375554
24.5,4,1.37,50,19.2649309354768,0.278634403515785
24.5,5,1.87,50,18.7087240217549,0.0637437986805266
25,0,0.07,50,23.5050276104742,0.840768558635808
25,1,0.29,50,22.8277173270748,1
25,2,0.58,50,21.4725840043044,0.93501122986343
25,3,0.94,50,20.5425053422379,0.899540057382933
25,4,1.37,50,19.853064665958,0.669197217227484
25,5,1.87,50,19.3145055799952,0.258150285544229
25.5,0,0.07,50,24.0182157531774,0.795035219642002
25.5,1,0.29,50,23.3269444724371,0.984269981221227
25.5,2,0.58,50,22.0089657339176,0.9787687697739
25.5,3,0.94,50,21.1014594139077,0.913779806378943
25.5,4,1.37,50,20.4310296251202,0.884255478905787
25.5,5,1.87,50,19.9086745678087,0.595425759515926
26,0,0.07,50,24.5332410775011,0.683711978296717
26,1,0.29,50,23.8285445905908,0.844025234824957
26,2,0.58,50,22.5009206408881,0.882663958873963
26,3,0.94,50,21.6503506477829,1
26,4,1.37,50,20.9978643084829,0.858834359005806
26,5,1.87,50,20.4909115058414,0.717908021879251
26.5,0,0.07,50,25.0499107567446,0.431907302731297
26.5,1,0.29,50,24.3322147906177,0.766262295249276
26.5,2,0.58,50,22.9866482196973,0.919125357778329
26.5,3,0.94,50,22.1822956750772,1
26.5,4,1.37,50,21.5528899822347,1
26.5,5,1.87,50,21.0603242381717,0.826727483428388
27,0,0.07,50,25.5682278751433,0.311667590310463
27,1,0.29,50,24.8381943807463,0.625831310886315
27,2,0.58,50,23.475576126657,0.897588043774101
27,3,0.94,50,22.660823067868,0.947474316993327
27,4,1.37,50,22.0944472274434,1
27,5,1.87,50,21.6161439379016,0.950738413587419
27.5,0,0.07,50,26.0881281760461,0.212479494132503
27.5,1,0.29,50,25.3464036781016,0.389211798588614
27.5,2,0.58,50,23.9667352539539,0.721532902368972
27.5,3,0.94,50,23.1474448398992,1
27.5,4,1.37,50,22.5765669553959,0.908741102915895
27.5,5,1.87,50,22.1485026418078,0.876857620385273
28,0,0.07,50,26.6097104905337,0.0521982905361867
28,1,0.29,50,25.856913424179,0.286027247524828
28,2,0.58,50,24.4609306168577,0.652407992319984
28,3,0.94,50,23.6371737054424,0.940016842801681
28,4,1.37,50,23.0657817781482,1
28,5,1.87,50,22.6363902262938,0.86629899462007
28.5,0,0.07,50,27.1328243041277,0.0539320540225508
28.5,1,0.29,50,26.3697302729813,0.205660657098752
28.5,2,0.58,50,24.9583275254006,0.516287424680668
28.5,3,0.94,50,24.1296474354542,0.754094035746532
28.5,4,1.37,50,23.558322857735,0.966953758216711
28.5,5,1.87,50,23.1302765375112,0.916353672491087
29,0,0.07,50,27.6574735256964,0.059511318243799
29,1,0.29,50,26.884868161936,0.0812616748498059
29,2,0.58,50,25.4590619426175,0.259567799279482
29,3,0.94,50,24.6257586663505,0.698509321879054
29,4,1.37,50,24.0539153818027,0.73034543831739
29,5,1.87,50,23.6275743798624,0.773361624803878
29.5,0,0.07,50,28.1836337037002,0
29.5,1,0.29,50,27.4023395169864,0.0914584121633319
29.5,2,0.58,50,25.9629910887695,0.185364660199749
29.5,3,0.94,50,25.1255016374369,0.525047825395631
29.5,4,1.37,50,24.553222841108,0.72997441448011
29.5,5,1.87,50,24.1283562772269,0.672204179732321
30,0,0.07,50,28.7112618173101,0.0113207723059319
30,1,0.29,50,27.922157099547,0.0952536254310951
30,2,0.58,50,26.4704355668459,0.122801868760879
30,3,0.94,50,25.6290435784136,0.27981901978801
30,4,1.37,50,25.056468894298,0.563499818000461
30,5,1.87,50,24.6329447488381,0.606866907191114
